title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,trove_category,trove_id,trove_url
Armenien und Georgien im 10. und 11. Jahrhundert : Armenia and Georgia in the 10th and 11th centuries / Autor: Robert H. Hewsen ; Kartograph: Christian Bandomer ; Kartographische Gesamtleitung: Wolfgang Denk,1988,"Hewsen, Robert H",,https://trove.nla.gov.au/work/35377189,,image,35377189,https://trove.nla.gov.au/work/35377189
"A geological map of Armenia and its border-ranges with indications of mineral-springs / drawn and hand colored by Felix Oswald, D.D.c., F.G.S",1907,"Oswald, Felix, 1866-1958",,https://trove.nla.gov.au/work/252143281,,image,252143281,https://trove.nla.gov.au/work/252143281
"Major States & Cultures of the World c.100 CE -- North America, South America, Africa, Europe, Asia, Australia, Roman Empire, Armenia, Central America Map / Maps.com(CR)",1999,Maps.com (Firm),,http://VH7QX3XE2P.search.serialssolutions.com/?V=1.0&L=VH7QX3XE2P&S=AC_T_B&C=Major%20States%20&%20Cultures%20of%20the%20World%20c.100%20CE%20--%20North%20America%2C%20South%20America%2C%20Africa%2C%20Europe%2C%20Asia%2C%20Australia%2C%20Roman%20Empire%2C%20Armenia%2C%20Central%20America%20Map&T=marc&tab=BOOKS,Held,image,262627596,https://trove.nla.gov.au/work/262627596
"Persia sive Sophorum regnum : cum Armenia, Assyria, Mesopotamia et Babilonia",1711-1717,,,https://trove.nla.gov.au/work/228969746,3290157 - MAP Ra 24,image,228969746,https://trove.nla.gov.au/work/228969746
Joint operations graphic (air) / prepared and published by the Defense Mapping Agency Hydrographic/Topographic Center,1966,United States. Defense Mapping Agency. Hydrographic/Topographic Center,,https://trove.nla.gov.au/work/8287768,held,image,8287768,https://trove.nla.gov.au/work/8287768
Armenien und Georgien : Das Christentum im Mittelalter (7.-15. Jahrhundert) = Armenia and Georgia : Christianity in the Middle Ages (7th-15th century / Autor: Robert H. Hewsen ; Kartograph: Christian Bandomer ; Kartographische Gesamtleitung: Wolfgang Denk,1989,"Hewsen, Robert H",,https://trove.nla.gov.au/work/35380590,,image,35380590,https://trove.nla.gov.au/work/35380590
"Road map of new independent countries of Azerbaijan, Armenia, Georgia, Ukraine, Moldova, Belarus, Lithuania / designed provided & printed by Gita Shenasi Geographic & Cartographic Organization",1994,Shirkat-i Gītā Shināsī,,https://trove.nla.gov.au/work/14738721,,image,14738721,https://trove.nla.gov.au/work/14738721
"The north part of Turky in Asia : containing Asia Minor, Armenia, Syria, Diarbeck, Irac-Arabick &c / by H. Moll geographer",1711-1717,,,https://trove.nla.gov.au/work/228969741,3288865 - MAP Ra 24,image,228969741,https://trove.nla.gov.au/work/228969741
Armenien und Georgien : Christentum und Territorialentwicklung vom 4. bis zum 7. Jahrhundert = Armenia and Georgia : Christianity and territorial development from the 4th to the 7th century / Autor: Robert H. Hewsen ; Kartograph: Christian Bandomer ; Kartographische Gesamtleitung: Wolfgang Denk,1987,"Hewsen, Robert H",,https://trove.nla.gov.au/work/35376842,,image,35376842,https://trove.nla.gov.au/work/35376842
"Tabula III Asiae : hae sunt e cognitis totius orbis : provinciis seu praefecturis quas tertia Asiae tabula complectitur, Colchis, Iberia, Albania, Armenia maior",1535,"Ptolemy, active 2nd century",,https://trove.nla.gov.au/work/162223554,5785303 - MAP Ra 1,image,162223554,https://trove.nla.gov.au/work/162223554
